Mass	RT	T0R1L	T0R1R	T0R2L	T0R2R	T1R3L	T1R3R	T1R4L	T1R4R	T2R5L	T2R5R	T2R6L	T2R6R	T3R7L	T3R7R	T3R8L	T3R8R	relation.id	relation.ship	codadw	charge
188.0688894	856.4893095	0	0	0	207212.1406	3.10E+07	2.34E+07	3.74E+07	3.38E+07	5.01E+07	4.96E+07	4.92E+07	3.98E+07	7.74E+07	6.39E+07	5.31E+07	6.07E+07	75	bp	0.970075288	1
188.0689907	854.42976	218097.2344	186619.0313	330214.4375	207212.1406	6196855	8242629.5	8534452	3.38E+07	9780401	3238207.75	5812704.5	1.06E+07	7.74E+07	6.39E+07	5.31E+07	6.07E+07	76	bp	0.960521992	1
72.03951277	752.4820595	6368497	5062094	7321688	5355934.5	7.60E+07	4810307.5	6634434	6102747.5	5954598	4401428.5	5034462	4449389	7300006.5	5508958	5343542.5	4215568.5	77	bp	0.958626632	1
244.0587514	613.5651283	1.47E+07	2.15E+07	4.32E+07	2.42E+07	1.39E+07	2.27E+07	4.90E+07	7.60E+07	2.51E+07	6.07E+07	4.00E+07	3.59E+07	7.12E+07	6.58E+07	2.88E+07	4.55E+07	78	bp	0.945618172	1
367.336439	1600.905006	1.15E+07	8852548	3.73E+07	5.84E+07	4.91E+07	2.59E+07	7.53E+07	6.47E+07	3.62E+07	7.34E+07	2.78E+07	3.37E+07	5.08E+07	3.93E+07	2.50E+07	3.34E+07	79	bp	0.976474738	1
216.1001914	888.2326279	3296978.5	2085344.875	3121535.75	1891453.125	2.10E+07	1.84E+07	2.62E+07	3.49E+07	3.79E+07	4.03E+07	2.91E+07	3.41E+07	7.45E+07	6.05E+07	4.77E+07	3.83E+07	80	bp	0.962047741	1
203.0923668	940.889061	7905623	4341746.5	1.05E+07	7566820	4.56E+07	4.12E+07	7.15E+07	5.11E+07	7.35E+07	3.33E+07	5.62E+07	5.37E+07	6.35E+07	6.87E+07	148731.3594	3.39E+07	81	bp	0.966292035	1
187.0848557	850.1461334	2658449.25	3598263	3715432.75	4958525	2.53E+07	1.86E+07	4.18E+07	3.34E+07	4.30E+07	3.18E+07	3.21E+07	2.88E+07	7.28E+07	5.18E+07	4.17E+07	2.84E+07	82	bp	0.959967447	1
170.0695582	545.8348732	1059652.375	573885.0625	729393.4375	595024.8125	7.23E+07	651851	523649.1563	646053.375	748219.3125	428673.25	1125443.25	544143.75	766304.75	608170.5	768376.125	570861.4375	83	bp	0.938049932	1
332.1295703	1059.396248	6.34E+07	2.36E+07	7.10E+07	1.23E+07	1395747.125	1050493.75	2522471	2298539.75	2867574.75	2216775.75	1861296.25	1942688.5	5966691	3354818.5	4187271.5	1898981.75	84	bp	0.969542032	1
318.1503075	990.9693146	1779474	2342998	6965512.5	4467280	3.42E+07	1.96E+07	5.30E+07	5.22E+07	5.83E+07	6.23E+07	4.83E+07	3.77E+07	7.05E+07	4.52E+07	6.20E+07	5.46E+07	85	bp	0.963461179	1
216.1001636	839.4611893	860754.8125	888657.875	3021492.5	1865573.25	2.55E+07	3.41E+07	3.68E+07	1.97E+07	4.51E+07	1.35E+07	2.65E+07	4.27E+07	4.28E+07	6.65E+07	5.34E+07	2.19E+07	86	bp	0.964237749	1
409.1674093	1425.465004	1.35E+07	2038846.75	7965712.5	1.72E+07	1.29E+07	2.67E+07	2.40E+07	2.78E+07	6.36E+07	2.56E+07	3121757.75	1.88E+07	2.72E+07	1.34E+07	2.23E+07	339604.6563	87	bp	0.966570096	1
318.1503068	1009.504375	1.43E+07	1.56E+07	6.10E+07	5.01E+07	3.47E+07	1.72E+07	5.96E+07	5.57E+07	6.08E+07	6.00E+07	4.93E+07	3.39E+07	5.50E+07	3.51E+07	5.74E+07	5.28E+07	88	bp	0.969316052	1
