	RT	Std3
148.0387011203726	374.0539855957031	4.414684E7
227.04140613019996	294.70599365234375	4.3911492E7
245.09128983432976	443.239990234375	4.1573344E7
143.97489081155655	315.04400634765625	4.04725E7
125.06692264356064	435.760009765625	3.888026E7
205.11979926613722	522.5159912109375	3.8843652E7
206.15184229007556	256.59100341796875	3.8799696E7
132.0615794351933	575.4000244140625	3.8658964E7
99.99586787474456	391.70001220703125	3.74445E7
340.2107494372272	364.06500244140625	3.6904552E7
149.03112756158234	375.29400634765625	3.646616E7
400.1090455404807	586.7789916992188	3.6165348E7
165.04259712962917	1394.989990234375	3.3746836E7
346.0265898712995	533.8489990234375	3.1721594E7
202.04531768472543	609.385986328125	3.168365E7
510.158026824665	444.47698974609375	3.158656E7
266.06972305150026	444.47698974609375	3.1130108E7
233.06966397250443	580.5280151367188	3.0866872E7
226.09523983603734	540.0709838867188	2.9145724E7
174.10044522655514	540.0709838867188	2.8400808E7
232.90742505143936	316.2850036621094	2.840054E7
221.05435733460354	313.8039855957031	2.8021106E7
86.03674193249682	827.9429931640625	2.7227316E7
406.23145170765713	522.5159912109375	2.7051156E7
129.04263057914022	487.0450134277344	2.6457908E7
176.0473480239225	240.10000610351562	2.6405616E7
294.16893287675964	364.06500244140625	2.63295E7
234.90557430231715	316.2850036621094	2.5914274E7
488.17590195796606	443.239990234375	2.5604584E7
79.0132614270009	391.70001220703125	2.5571642E7
148.09286988848524	362.8280029296875	2.5409598E7
233.06966857762794	488.2829895019531	2.4017844E7
125.06697888345411	364.06500244140625	2.313212E7
368.14360865315217	362.8280029296875	2.2544152E7
158.069146992421	473.26300048828125	2.2417E7
222.08915079326496	240.10000610351562	2.1731188E7
405.1582154558602	437.0379943847656	2.1132934E7
248.12698408334973	364.06500244140625	2.1061986E7
92.02959999535302	362.8280029296875	2.0604108E7
162.10844357755673	586.7789916992188	2.0584606E7
212.0911447737373	575.4000244140625	2.0559642E7
187.02445978573428	1348.68994140625	2.0466666E7
232.9073843640857	1361.239990234375	2.040702E7
266.1644560275829	232.62600708007812	2.025527E7
142.0741918694755	398.093994140625	1.9866462E7
653.3242823808238	221.91200256347656	1.9721714E7
183.1087922013255	365.30499267578125	1.9593464E7
325.048447194806	533.8489990234375	1.9042246E7
78.01392256952612	1357.530029296875	1.8810204E7
247.07467482774408	451.9779968261719	1.8494946E7
212.04883083751267	586.7789916992188	1.8395084E7
157.02726961811433	391.70001220703125	1.821104E7
145.9730382121808	313.8039855957031	1.8184278E7
