	RT	Std3_1in1000
130.09939731692668	256.15899658203125	3448079.25
305.16109780407044	665.1820068359375	3435643.75
234.9055201521219	2.160939931869507	3431144.25
113.08408620613962	325.9620056152344	3400248.5
234.90560731785914	49.64459991455078	3374149.5
321.84011760416956	1362.2900390625	3336206.5
232.90745191656885	204.83599853515625	3333197.0
234.9055924904473	307.02099609375	3233347.0
234.90558816772636	151.64199829101562	3194591.5
234.9056046677201	231.9459991455078	3171233.75
234.90560553379592	266.25	3163637.75
234.9055985348268	198.55499267578125	3152042.0
113.08408401993447	295.3429870605469	3140198.5
234.9055957859612	351.55999755859375	3118766.75
234.90559719069927	392.1340026855469	3014580.5
164.10489729874348	288.9960021972656	2967559.0
249.04338940109295	1293.760009765625	2933679.5
321.84011774205527	1383.02001953125	2930539.0
110.10949628662766	1331.2099609375	2881416.5
124.03539330676601	408.52099609375	2818350.0
305.1612678589183	536.6370239257812	2745155.75
170.09429145973655	251.0780029296875	2736343.0
242.28009406075427	35.6619987487793	2678164.25
304.2442861758583	230.51100158691406	2634845.25
168.07864143815868	258.656005859375	2623904.0
145.15783858239763	666.4329833984375	2606141.75
249.04342112991637	670.18701171875	2465233.0
305.16127617051535	517.4210205078125	2446838.0
305.16107419412	720.6900024414062	2331469.5
163.1289896083854	261.1579895019531	2331311.75
404.2029802331183	242.33599853515625	2296625.0
266.1644126461128	1335.1199951171875	2252892.25
232.90746319762454	469.4639892578125	2188276.5
331.27193911014126	1332.6400146484375	2157613.0
165.04256765479036	1341.5400390625	2141562.75
654.3278063348989	221.21299743652344	2135627.25
156.10113904206497	1410.1500244140625	2133121.5
232.90743880902758	439.1719970703125	2133052.5
106.06299813759613	262.4939880371094	2129993.5
321.8399632073434	1348.1400146484375	2107297.5
167.11576402884012	361.72698974609375	1994288.75
190.15684030638266	248.57899475097656	1976607.5
308.19618836240454	229.26100158691406	1972023.875
191.13095664521052	251.0780029296875	1948722.375
370.3081090455073	225.3260040283203	1939558.125
234.90560975950865	434.1199951171875	1933586.625
325.8364500955653	1363.530029296875	1912268.125
535.1582076646807	221.21299743652344	1876009.375
223.09247612490077	240.86500549316406	1875934.875
304.24411331568683	1333.8800048828125	1856148.875
156.02789299607124	389.53900146484375	1843464.0
177.05069163086412	239.61900329589844	1825026.375
308.19619627068386	1356.93994140625	1818419.375
469.4129388417608	224.07699584960938	1804642.625
121.07383786544789	682.8720092773438	1804586.375
249.04339893846426	959.7760009765625	1800937.125
249.04339865015552	915.156005859375	1784574.875
287.2457682433001	246.07899475097656	1784351.875
209.1627013847211	281.385009765625	1766055.25
232.90746245315532	499.7359924316406	1722002.75
249.04339901986074	805.8040161132812	1717359.75
229.16771502359657	243.58299255371094	1697644.875
145.1578191795731	793.1749877929688	1686085.0
151.9411493002906	1360.75	1682148.0
80.00974171993478	389.53900146484375	1673385.625
249.0433983959916	891.9920043945312	1673308.75
142.09941424497666	301.7860107421875	1667402.125
249.0434006888444	856.4409790039062	1638248.25
249.043397964395	856.4409790039062	1638248.25
325.83645734026635	1383.02001953125	1634024.75
156.07622765556962	318.3949890136719	1633473.75
145.15781550433616	814.6740112304688	1607343.625
337.3342437565469	230.51100158691406	1573890.5
226.15679732520852	266.25	1546889.5
110.07318282977579	251.0780029296875	1526116.5
228.1335287103796	256.15899658203125	1508129.875
377.20473413847645	231.9459991455078	1481730.75
129.959188513196	1331.2099609375	1474907.25
249.04354234335253	493.4429931640625	1466552.75
187.12085573227338	251.0780029296875	1465187.75
246.15913493492812	423.8710021972656	1464930.625
234.905626911112	509.8280029296875	1445095.375
199.16530644474065	229.26100158691406	1407842.375
212.14124954707378	242.33599853515625	1381613.75
244.07102456670154	239.61900329589844	1377326.5
119.04050139448921	389.53900146484375	1372275.75
126.04293483382378	528.9080200195312	1356144.5
233.91052546347368	1336.3599853515625	1335898.125
224.18162379769836	257.4070129394531	1328425.875
399.23655421180416	1337.8199462890625	1321457.25
246.15914620199075	441.7200012207031	1318190.5
156.1011423257284	213.66099548339844	1315975.125
144.97817454488214	1335.1199951171875	1313084.125
72.05749644998235	256.15899658203125	1309805.875
188.10617196903297	350.3059997558594	1293899.375
382.2099534687357	1335.1199951171875	1290226.875
245.16253953938823	252.41400146484375	1284513.5
234.90562781980412	523.9019775390625	1272290.5
317.1837328486678	235.8769989013672	1262327.5
156.10110469905408	644.9879760742188	1256686.375
241.27674545193352	137.72900390625	1242156.125
387.1761374674754	242.33599853515625	1229693.125
204.1362041976494	240.86500549316406	1226637.875
189.0426732899915	240.86500549316406	1212440.875
210.10202319180522	231.9459991455078	1207126.375
267.16782088713785	233.37899780273438	1202567.125
387.33453562811644	225.3260040283203	1199139.75
261.1574354037834	251.0780029296875	1186072.0
369.28769729876257	233.37899780273438	1180397.625
404.1920453709531	1417.8800048828125	1173828.625
369.9746338329052	1366.010009765625	1172317.75
226.193184408187	235.8769989013672	1153385.625
331.27201402056505	1342.9599609375	1151351.875
156.10112276223603	29.38920021057129	1147011.625
194.1154852578272	324.7080078125	1146813.375
145.11019920449888	827.3480224609375	1146733.625
305.6630246777106	574.4249877929688	1144926.75
157.14670033363407	248.57899475097656	1141441.0
