m/z,RT,Intensity,Identification,Prob
166.069010,474.972992,22832.140625,StdMix2_2;M+ACN+H;[12C]7[13C]1[1H]9[14N]2[16O]2,0.885000
348.191799,769.632019,22263.744141,StdMix2_55;2M+ACN+H;[12C]18[1H]26[14N]3[16O]4,0.975000
257.146747,956.148010,22161.541016,StdMix2_24;2M+Na;[12C]10[1H]22[14N]2[16O]4[23Na]1,1.000000
75.074553,1021.099976,21988.451172,StdMix2_27;M+H;[12C]1[13C]1[1H]8[14N]3,0.850000
228.170513,751.463989,21965.359375,StdMix2_23;M+2ACN+H;[12C]11[1H]22[14N]3[16O]2,1.000000
222.121597,386.476013,21818.773438,StdMix2_7;M+H;[12C]9[1H]18[14N]1[16O]4[18O]1,1.000000
93.583712,1597.930054,21784.824219,StdMix2_34;M+2ACN+2H;[12C]9[1H]21[14N]3[16O]1,0.995000
176.079060,1021.099976,21028.437500,StdMix2_26;M+Na;[12C]7[1H]11[14N]3[16O]1[23Na]1,0.980000
443.150724,616.367981,20638.857422,StdMix2_69;M+H;[12C]18[13C]1[1H]20[14N]7[16O]6,1.000000
134.063958,1223.349976,20500.960938,StdMix2_42;M+H;[12C]3[13C]1[1H]9[14N]2[16O]3,0.985000
262.091079,1372.920044,19812.242188,StdMix2_47;M+Na;[12C]7[13C]1[1H]18[14N]2[16O]4[32S]1[23Na]1,1.000000
139.084344,1116.719971,19539.283203,StdMix2_39;M+ACN+Na;[12C]5[1H]12[14N]2[16O]1[23Na]1,1.000000
167.078825,454.622009,19085.314453,StdMix2_32;M+ACN+Na;[12C]6[1H]12[14N]2[16O]2[23Na]1,0.965000
381.228503,765.114014,18886.691406,StdMix2_14;2M+H;[12C]22[1H]29[14N]4[16O]2,1.000000
216.099414,357.944000,18218.363281,StdMix2_44;M+CH3OH+H;[12C]6[1H]19[14N]1[16O]5[31P]1,0.900000
194.065778,1223.349976,17744.699219,StdMix2_43;M+2H;[12C]14[1H]22[14N]6[16O]5[34S]1,1.000000
146.020831,979.013977,17408.402344,StdMix2_2;M+Na;[12C]6[1H]5[14N]1[16O]2[23Na]1,0.885000
154.083663,1014.989990,17021.296875,StdMix2_19;M+Na;[12C]6[1H]13[14N]1[16O]2[23Na]1,1.000000
209.103460,754.536011,16757.951172,StdMix2_8;M+2ACN+H;[12C]9[1H]13[14N]4[16O]2,0.995000
132.126152,1680.060059,16571.246094,StdMix2_53;M+H;[12C]5[1H]15[14N]3[15N]1,1.000000
164.116520,1047.130005,16492.994141,StdMix2_29;M+H;[12C]7[1H]16[14N]1[16O]2[18O]1,1.000000
407.111039,1231.119995,15962.872070,StdMix2_43;M+Na;[12C]14[1H]20[14N]6[16O]5[32S]1[23Na]1,1.000000
222.116173,1328.709961,15853.624023,StdMix2_67;M+CH3OH+H;[12C]7[13C]1[1H]17[14N]2[16O]5,1.000000
134.100324,962.346008,14722.351563,StdMix2_51;M+H;[12C]4[13C]1[1H]13[14N]2[16O]2,1.000000
191.090801,514.831970,14518.888672,StdMix2_67;M+H;[12C]7[1H]13[14N]2[16O]3[18O]1,1.000000
