id,mass,RT,Intensity
78,242.0099067727464,428.8680114746094,16671.87890625
79,251.97627101083478,431.43798828125,133825.0
80,167.06851948510413,429.7510070800781,56576.0546875
81,156.08456106964763,435.4639892578125,50726.81640625
82,153.02463974055507,388.9100036621094,490895.75
83,153.02466068198092,429.7510070800781,14858.7763671875
84,214.13215751757951,435.4639892578125,25054.0
85,141.0610561991693,435.77801513671875,85046.5625
86,323.9795150760322,431.43798828125,52577.25390625
87,222.02004001883233,428.8680114746094,604702.875
88,199.10287475290562,433.6990051269531,235644.90625
89,170.10014281345462,435.77801513671875,19263.48828125
90,200.14705776034899,438.4169921875,7067.43212890625
91,267.97127466270217,431.43798828125,1149002.25
92,190.08456500798354,398.94500732421875,8325365.0
93,155.07673432211598,435.77801513671875,153212.84375
94,149.02979481267064,429.7510070800781,417495.875
95,154.0450709379296,447.27899169921875,120531.4453125
96,140.02941177653884,426.22900390625,42573.0
97,152.04497245873034,429.7510070800781,133186.296875
98,152.04880573545438,429.7510070800781,202473.171875
99,284.0026053139701,431.43798828125,4096753.0
100,90.04701629899968,446.39599609375,141083.96875
101,167.04026275898025,429.7510070800781,563131.5
102,206.06157944523716,441.9590148925781,55263.70703125
103,169.09237332187132,447.27899169921875,9051766.0
104,57.05805405220215,449.0409851074219,26537.54296875
105,57.05805252696492,408.8489990234375,23767.998046875
106,57.0580490361135,430.33599853515625,22662.94921875
107,166.06890924776482,429.7510070800781,1166053.125
108,174.0532568289844,398.94500732421875,2135412.25
109,174.05326764361595,432.5249938964844,79511.1328125
110,174.05328237580412,361.156005859375,5.784592E7
111,203.092339862926,423.5679931640625,117227.0078125
112,169.05592292849684,429.7510070800781,2623867.75
113,247.98134929288017,459.8580017089844,1.5026197E7
114,267.98874920059137,431.43798828125,773727.0625
115,299.0539341964632,459.8580017089844,3270248.25
116,166.0482083888332,450.489013671875,1145794.0
117,166.0481702737629,397.760986328125,997318.5
118,166.04818900737402,361.156005859375,1513564.25
119,300.0510988861928,459.8580017089844,2115222.25
120,70.04191742157509,464.5069885253906,51826.53125
121,104.01065473556338,464.5069885253906,40821.88671875
122,368.114657716443,459.8580017089844,1.574255E7
123,187.10291545422706,462.0060119628906,3.0477394E7
124,242.04417205382887,464.5069885253906,26648.357421875
125,92.02944330238086,447.27899169921875,137822.28125
126,120.02438226823087,464.5069885253906,445462.8125
127,143.0767137870317,464.5069885253906,363477.90625
128,69.05791740386955,464.5069885253906,397118.75
129,180.06391501943037,464.5069885253906,111569.7734375
130,225.03452666154985,459.8580017089844,346985.21875
131,225.03457302900702,428.8680114746094,198393.25
132,242.03732558276803,464.5069885253906,145534.21875
133,278.0648034423255,459.8580017089844,665324.9375
134,141.0610822950643,466.59100341796875,608057.3125
135,171.07236821443828,464.5069885253906,2750228.0
136,295.0956067254703,476.82598876953125,11197.6962890625
137,165.0611210384466,470.9339904785156,83895.1171875
138,189.0836175810313,469.5639953613281,555492.5625
139,171.03948283084446,480.96600341796875,12109.109375
140,172.06634897856276,469.3479919433594,647798.8125
141,210.02976379586497,464.5069885253906,220090.8125
142,312.1065700694353,478.2969970703125,13113.9677734375
143,172.04885873603672,469.3479919433594,3709322.0
144,244.0885117234262,469.3479919433594,1.4204809E7
145,153.0610970003796,464.5069885253906,105395.5546875
146,186.03490914279467,479.1780090332031,23795.85546875
147,204.07514592397328,487.34600830078125,810734.3125
148,171.0433501606093,481.552001953125,15260.4716796875
149,169.0320980982445,478.885986328125,8963.9521484375
150,202.0957893858636,487.34600830078125,4613332.5
