beerall-file3 0 501578.812500 642.551025 344.131815  beerall-file1 0 2453713.500000 640.403992 344.131811  beerall-file2 0 463250.625000 641.414978 344.132033  
beerall-file3 0 691254.812500 454.625000 373.100979  beerall-file2 0 530245.562500 454.695007 373.100910  
beerall-file3 0 144636.671875 1368.750000 578.142953  beerall-file1 0 115918.820313 1371.810059 578.142824  beerall-file2 0 95290.765625 1386.579956 578.142804  
beerall-file3 0 288539.187500 272.359985 376.149761  beerall-file2 0 268339.250000 268.533997 376.150075  
beerall-file1 0 467547.281250 588.984985 440.172349  beerall-file2 0 689384.687500 591.195984 440.172194  
beerall-file3 0 323040.500000 244.410004 144.078631  beerall-file1 0 767374.562500 274.359985 144.078688  beerall-file2 0 376105.312500 242.220001 144.078661  
beerall-file3 0 354403.906250 589.700012 307.083852  beerall-file2 0 312931.875000 588.718994 307.083848  
beerall-file3 0 1266756.500000 493.036987 181.037683  beerall-file1 0 5843606.000000 492.812988 181.037533  
beerall-file3 0 4061634.500000 613.388000 205.064243  beerall-file1 0 6418742.000000 612.612000 205.064315  beerall-file2 0 2479251.000000 612.518982 205.064180  
beerall-file3 0 122922.531250 909.981018 353.147448  beerall-file1 0 192862.125000 903.857971 353.147399  beerall-file2 0 213995.968750 904.692017 353.147426  
beerall-file3 0 345506.656250 440.889008 142.026641  beerall-file1 0 306832.343750 447.052002 142.026648  
beerall-file3 0 3559776.250000 500.483002 301.113849  beerall-file1 0 829588.687500 411.661011 301.114734  beerall-file2 0 1246631.875000 410.540985 301.114604  
beerall-file3 0 964782.750000 617.354980 272.100621  beerall-file1 0 1159607.375000 617.724976 272.100729  beerall-file2 0 2430285.500000 618.892029 272.100630  
beerall-file3 0 949688.250000 438.406006 176.068488  beerall-file1 0 878345.562500 437.014008 176.068503  beerall-file2 0 344078.781250 450.973999 176.068441  
beerall-file1 0 227737.078125 433.264008 474.172440  beerall-file2 0 185556.218750 429.739014 474.172538  
beerall-file3 0 113456.718750 815.072998 258.652820  beerall-file2 0 86583.070313 812.132019 258.652701  
beerall-file3 0 8318906.000000 593.500977 255.074084  beerall-file1 0 17283624.000000 594.023987 255.074061  beerall-file2 0 5492687.000000 583.768982 255.074099  
beerall-file3 0 646067.187500 435.829987 289.064412  beerall-file1 0 1051164.875000 437.014008 289.064401  beerall-file2 0 559392.000000 436.007996 289.064424  
beerall-file3 0 444143.468750 592.257996 215.079404  beerall-file1 0 619553.750000 591.508972 215.079462  
beerall-file3 0 228879.781250 235.044006 371.173063  beerall-file1 0 223334.875000 231.602005 371.173098  beerall-file2 0 287543.218750 231.692001 371.173274  
beerall-file1 0 122917.062500 289.794006 244.092785  beerall-file2 0 255757.718750 290.639008 244.092951  
