	RT	Std1_1in5
191.05593208852477	436.5480041503906	1529624.75
195.91318840541817	1422.3399658203125	1514769.875
293.80916608121055	1362.280029296875	1511106.625
249.0647643240326	387.364990234375	1502541.875
82.05261523154103	528.5479736328125	1497140.5
228.20908524905326	1364.8699951171875	1477942.625
204.8762920360804	211.39500427246094	1457158.625
186.16201552922513	226.93600463867188	1453871.875
116.94692187945682	1363.6300048828125	1429659.25
146.99087991326715	211.39500427246094	1427563.25
95.99998991498099	1345.1800537109375	1421876.875
146.9908686513023	87.58370208740234	1420985.875
215.07953215943257	281.3370056152344	1419621.5
215.84014433398318	456.81500244140625	1403292.125
287.9192982506744	1353.1600341796875	1397110.0
138.94784075002448	1362.280029296875	1388193.5
213.84216393781057	458.05999755859375	1382727.125
302.24597711878255	215.1580047607422	1380268.625
137.8704428201996	605.406005859375	1368919.875
270.2559238753531	213.91700744628906	1368781.625
282.2558888295782	1362.280029296875	1366581.375
147.0531798248303	606.697998046875	1357964.25
124.05244899625042	619.5230102539062	1343905.125
105.0424701818017	658.9630126953125	1342864.5
158.0215234669559	585.0980224609375	1342588.625
112.01603928959092	539.8209838867188	1338247.25
133.87515746965718	464.3340148925781	1333393.25
191.96236702520048	1332.1800537109375	1328796.625
147.97327300209653	1349.1099853515625	1326520.75
106.01504747095305	643.8250122070312	1314518.75
215.84013064972194	484.489990234375	1311758.25
175.09568862851611	657.7139892578125	1309596.75
204.8762631272354	221.58799743652344	1308110.125
211.06807286405012	387.364990234375	1302608.5
201.027496252299	219.06500244140625	1293348.625
304.77286403966264	1349.1099853515625	1284865.125
215.8401637122071	435.3110046386719	1282225.5
146.9908657201306	272.6579895019531	1274439.75
146.9908696410122	323.17498779296875	1271913.875
146.990856641887	236.00900268554688	1271529.375
190.09544921752908	705.3099975585938	1269707.5
152.03343929837283	539.8209838867188	1268978.875
130.0630583952681	376.07000732421875	1264837.5
204.8762665857007	24.437400817871094	1264451.25
236.96095007940488	1351.77001953125	1263373.75
204.8762760836497	15.461999893188477	1263207.375
371.8762331507085	1358.3900146484375	1261241.625
117.93583033686825	1044.02001953125	1258811.75
95.99997549969646	1402.199951171875	1252249.25
211.93901416849616	1354.4000244140625	1251602.25
215.8401443528493	508.3219909667969	1221716.0
