	RT	Std1_1
95.94754614318752	538.219970703125	3489856.25
125.05575093738267	585.6290283203125	3464017.25
172.14640908927745	237.51499938964844	3457332.75
191.05594922967938	435.906005859375	3432497.5
160.00396891170683	460.135009765625	3415342.5
204.0635261607471	304.29400634765625	3412730.5
195.91317870892271	1354.760009765625	3393018.5
94.04157286860556	296.44000244140625	3330947.25
117.94177516563686	7.996089935302734	3303922.25
151.06332936061236	528.2680053710938	3303286.25
250.05668612220956	446.1709899902344	3269323.75
209.94194345624882	604.4169921875	3263168.75
73.9997894589574	553.2349853515625	3248860.75
114.03171701693131	729.8670043945312	3238967.5
216.04019721776308	608.1320190429688	3189615.0
136.95237289502748	1364.010009765625	3186564.75
109.02889163471444	458.89300537109375	3164053.75
73.99979969123092	502.93798828125	3154931.25
356.06241463701116	301.6400146484375	3110627.5
285.2748900908759	211.9290008544922	3091171.0
101.0111054422442	549.510009765625	3074940.5
166.08232998323564	499.0539855957031	3018728.25
325.0396371192598	585.6290283203125	3017267.0
168.0422686579484	584.3909912109375	3010142.5
427.02947792733966	614.4979858398438	3009619.0
195.04601137444595	660.9550170898438	2969348.25
266.05150072570603	502.93798828125	2934991.0
113.03063715991252	493.9360046386719	2928542.0
110.0367308886194	458.89300537109375	2919214.25
208.04668324825687	685.0479736328125	2904437.0
117.94179566372333	405.260986328125	2897098.0
102.03151184946358	551.9940185546875	2884568.0
229.07811688067108	446.1709899902344	2862360.25
338.1481576089382	435.906005859375	2861435.25
175.01978069504753	732.3560180664062	2852710.0
293.0547730465557	387.6319885253906	2839355.0
295.0905675121671	580.676025390625	2835732.75
292.0220771323418	788.7239990234375	2811560.25
174.02927600728057	458.89300537109375	2811313.5
456.1496044725566	446.1709899902344	2793241.25
129.04264425022328	499.0539855957031	2785461.5
185.97520518228936	1336.6300048828125	2784785.75
197.06171011209932	593.10400390625	2735945.25
113.03063878379363	446.1709899902344	2713275.5
257.2436889338296	213.17300415039062	2712578.0
220.0583591205124	668.6270141601562	2710654.25
196.818205014525	605.656005859375	2699366.25
132.08984888849233	657.2329711914062	2670312.25
170.02159228509638	1352.1099853515625	2664396.75
