	RT	Std3
180.0634216576922	610.0070190429688	1.2689789E7
173.96518965808505	688.22900390625	1.2202068E7
325.04894157443783	534.468994140625	1.2039848E7
211.0457861825279	584.927978515625	1.1689824E7
97.98447971982968	1354.3499755859375	1.1064493E7
145.07392955322481	584.927978515625	1.1000255E7
144.1150323465752	252.18600463867188	1.0854945E7
256.24034971900113	1363.2099609375	1.0764188E7
216.84497668426494	539.4530029296875	1.0761868E7
130.02662677191395	568.5830078125	1.0750341E7
233.93205827392902	1355.5899658203125	1.0705413E7
216.84493806212507	563.4420166015625	1.0650702E7
191.0677507857965	584.927978515625	1.0579738E7
114.99619671624538	267.24798583984375	1.0378449E7
326.04100268085887	534.468994140625	1.0118302E7
133.87512771736218	606.291015625	9830570.0
161.0675985449516	294.0899963378906	9818172.0
90.0313369376153	340.9179992675781	9654458.0
122.04803525469995	364.6889953613281	9521605.0
130.04594604451393	486.38800048828125	9304827.0
245.09162282806375	443.8599853515625	8594398.0
178.04776515846208	568.5830078125	8466728.0
116.08373053742349	277.5920104980469	8093539.5
196.05831604030598	632.5889892578125	8066379.5
124.90930295245863	610.0070190429688	7918253.5
250.06246616211024	588.6279907226562	7797013.0
78.0133955355518	437.66400146484375	7673422.0
197.01810497496848	526.864013671875	7647029.0
173.96520375788347	1420.969970703125	7536028.0
195.91316698643683	807.322021484375	7527220.0
135.87245410565856	603.7529907226562	7516008.0
319.74467849486376	547.051025390625	7489349.0
147.05322622932607	586.1610107421875	7333373.0
309.1062272981991	576.0230102539062	6970675.5
307.09054403773996	487.66400146484375	6873362.5
285.274846750439	211.0679931640625	6855488.0
135.98046665868898	1360.6199951171875	6854842.0
174.96479340822222	1355.5899658203125	6833370.5
125.03615256681697	409.8999938964844	6802440.0
90.03131358726783	610.0070190429688	6801508.5
160.03720157712158	452.60198974609375	6710984.0
102.06792147592108	306.7120056152344	6671298.5
117.94177867078406	315.6659851074219	6485981.5
378.1276414618504	586.1610107421875	6431837.0
158.13068749073588	234.4980010986328	6351957.5
196.05836158501032	521.9000244140625	6346910.0
155.9547258816497	1356.8299560546875	6209563.5
161.105235098942	521.9000244140625	5994836.0
188.07977493613794	494.06201171875	5993086.0
204.8762826907346	1360.6199951171875	5901054.5
204.8762876022733	311.94500732421875	5846647.0
130.0266571829114	516.7540283203125	5773969.0
232.0219617939196	553.3200073242188	5753794.5
217.04337974187595	608.7680053710938	5696603.0
134.02154433996498	648.1170043945312	5693240.5
124.02912649411333	409.8999938964844	5639428.0
95.03681749763788	409.8999938964844	5639261.5
130.02665174466452	495.3080139160156	5611556.0
163.03031972570707	416.07598876953125	5601639.0
124.90933480690488	584.927978515625	5522411.0
206.874482122055	313.18499755859375	5488904.5
263.97031750377545	662.2269897460938	5415459.5
206.8744933602601	1360.6199951171875	5311710.0
117.935831653397	813.5919799804688	5303149.5
228.2090912313999	217.32899475097656	5148736.0
250.0395781208788	230.39100646972656	5126988.0
196.05836263060752	663.6530151367188	5101900.0
195.87596962467725	313.18499755859375	5097011.5
204.87627275923023	1349.300048828125	5009350.5
375.0659678444343	526.864013671875	4988781.5
209.94199504851574	1353.1199951171875	4898884.0
218.84315341840957	564.6829833984375	4882732.5
445.6505618000795	545.81298828125	4827086.5
203.1158985753385	523.1409912109375	4756263.0
284.2715670168593	1356.8299560546875	4731858.0
218.84320373430984	539.4530029296875	4716758.5
175.96203734857696	1355.5899658203125	4704189.5
206.87447926202609	1348.0699462890625	4625113.0
215.84013087657294	1345.4100341796875	4566134.0
197.87417926571575	313.18499755859375	4563144.5
123.97487544069786	1329.97998046875	4517659.5
78.01339823380842	340.9179992675781	4510958.5
124.90932692181103	524.3809814453125	4504422.0
311.90960457113056	1355.5899658203125	4489625.0
73.0238580724195	552.0789794921875	4447291.5
200.17773647822946	222.53599548339844	4420988.5
148.03881249211378	374.677001953125	4418684.5
186.02951582334103	602.4760131835938	4312776.5
407.909773110259	1364.43994140625	4295470.0
124.9093077932951	1332.47998046875	4293455.5
132.03072062023767	622.4420166015625	4283994.0
359.0720379285228	285.26300048828125	4269199.0
265.9051866745307	550.8109741210938	4268150.5
159.1259592991062	523.1409912109375	4267998.5
195.91319091511482	1351.780029296875	4266881.0
114.03170679517312	610.0070190429688	4261822.5
178.0477969133482	495.3080139160156	4233754.0
178.0478014670446	516.7540283203125	4110540.0
213.84216017424347	1344.1700439453125	4054948.25
106.02651227863582	539.4530029296875	4025578.0
266.07015579382534	443.8599853515625	4015719.0
123.97488803348597	393.7449951171875	3970472.0
246.0840150899061	443.8599853515625	3953905.5
265.1161367013279	523.1409912109375	3947177.5
352.0766873039041	268.64599609375	3932430.0
170.1055774736419	364.6889953613281	3923007.25
144.04226590588698	309.375	3905045.5
190.0610818939859	584.927978515625	3870762.5
132.0615563806424	576.0230102539062	3853579.5
149.03122677660878	374.677001953125	3824881.75
281.05779174975623	286.50299072265625	3720101.75
141.99343960705733	1356.8299560546875	3687117.25
75.99772115399357	344.67401123046875	3686030.25
129.04259231804835	534.468994140625	3637019.25
189.94670909042878	392.32598876953125	3581633.25
243.92327133435748	550.8109741210938	3486226.0
218.04042009633852	594.9879760742188	3427796.5
136.9523775954009	1363.2099609375	3406114.75
151.02450813975184	487.66400146484375	3373443.75
72.02049040392978	601.2360229492188	3360665.5
87.03964600863199	623.7130126953125	3352422.5
130.09946263161135	263.5270080566406	3342961.25
111.98303274873057	436.38800048828125	3156563.5
106.94315275219431	314.42498779296875	3119114.25
400.1094994623496	586.1610107421875	3106970.25
100.01584274204275	452.60198974609375	3067696.25
99.95614683936427	318.3290100097656	3049399.0
124.90932173563661	450.0989990234375	3048863.0
219.97076025932893	1355.5899658203125	3005681.25
97.99186789393087	1354.3499755859375	3001736.0
198.06240725304903	594.9879760742188	2994366.75
137.87043662984343	603.7529907226562	2969634.5
103.06316587076078	584.927978515625	2956601.0
195.94722030604194	1358.1500244140625	2953535.5
106.94311952788505	627.4299926757812	2950816.0
252.10324373940404	213.55599975585938	2950097.5
329.9325437218212	1360.6199951171875	2903819.5
206.05871277411703	294.0899963378906	2830761.75
172.1464327060061	231.822998046875	2811360.5
145.0375511089878	380.9259948730469	2803142.5
85.9975568984275	1324.8299560546875	2774038.75
162.05285403853344	610.0070190429688	2770170.5
141.99343964309756	1368.280029296875	2764719.5
173.97753191384245	1363.2099609375	2762098.75
152.00844044061387	622.4420166015625	2757647.75
125.03859509575783	412.3659973144531	2752454.75
133.0197528736552	433.8999938964844	2740450.5
215.8400447825859	613.7680053710938	2739855.75
242.2247553389071	217.32899475097656	2736608.5
126.9073815292214	610.0070190429688	2733735.0
165.0427125578081	1363.2099609375	2707711.5
251.95505718789306	1365.6800537109375	2697013.0
102.03152538802557	436.38800048828125	2628461.25
290.05565858181075	452.60198974609375	2623193.0
94.04157320881028	297.7950134277344	2616770.0
188.02394210993168	289.1549987792969	2614132.25
95.999947234188	1381.0699462890625	2607815.75
77.97677662956224	1420.969970703125	2607057.25
207.9749811875486	662.2269897460938	2595653.25
102.06791543011282	353.4490051269531	2562471.5
117.93583218381501	1141.1500244140625	2559374.75
144.04231649055166	269.8890075683594	2554907.0
142.07430273183365	364.6889953613281	2545179.75
447.64741353076755	547.051025390625	2533140.75
318.10648650629264	646.6900024414062	2528926.75
261.0330582088083	635.0759887695312	2519140.5
160.0371826459935	569.823974609375	2516070.25
224.80558413883367	610.0070190429688	2510471.0
225.81084796275218	601.2360229492188	2479997.25
123.97489361521106	309.375	2452799.5
90.03132811090738	471.3970031738281	2440979.25
211.01517700022893	654.5369873046875	2438830.75
97.97667791218574	1351.780029296875	2438793.5
251.95505495251425	1377.1400146484375	2412916.75
205.0950555258668	521.9000244140625	2393976.0
346.027083004137	534.468994140625	2365858.5
136.00173123045684	295.322998046875	2342914.25
96.98719061210764	1420.969970703125	2339561.0
213.8421618260015	318.3290100097656	2331997.0
145.0456633296317	363.4490051269531	2325863.0
123.9748928584378	81.98210144042969	2317128.0
215.84014852650444	316.9079895019531	2317067.75
