m/z,RT,Intensity,Identification,Prob
200.002694,821.796021,528622.000000,StdMix1_16;M+H;[12C]5[1H]12[14N]1[16O]2[82Se]1,0.995000
115.069246,1038.229980,521784.468750,StdMix1_26;M+H;[12C]3[13C]1[1H]8[14N]3[16O]1,1.000000
133.560975,1770.609985,505046.562500,StdMix1_47;M+2H;[12C]11[13C]1[1H]18[14N]4[16O]1[32S]1,1.000000
125.042370,456.359009,484780.812500,StdMix1_8;M+H;[12C]5[13C]1[1H]6[14N]1[16O]2,1.000000
465.168673,721.013977,475086.656250,StdMix1_3;2M+Na;[12C]16[1H]30[14N]2[16O]12[23Na]1,1.000000
213.084230,1425.359985,462543.781250,StdMix1_42;M+Na;[12C]7[1H]14[14N]2[16O]4[23Na]1,1.000000
139.058037,355.463989,460236.500000,StdMix1_7;M+H;[12C]6[13C]1[1H]8[14N]1[16O]2,1.000000
153.073676,816.078003,444096.187500,StdMix1_15;M+H;[12C]7[13C]1[1H]10[14N]1[16O]2,1.000000
267.107018,1770.609985,441197.656250,StdMix1_47;M+H;[12C]12[1H]17[14N]4[16O]1[34S]1,0.995000
178.105206,979.067993,437537.593750,StdMix1_23;M+H;[12C]9[13C]1[1H]13[14N]2[16O]1,0.990000
119.089366,888.815979,389611.875000,StdMix1_20;M+H;[12C]4[13C]1[1H]12[14N]1[16O]2,1.000000
137.064780,903.504028,382301.531250,StdMix1_21;M+H;[12C]4[13C]1[1H]6[14N]5,0.995000
136.047947,1044.290039,379424.625000,StdMix1_26;M+Na;[12C]4[1H]7[14N]3[16O]1[23Na]1,1.000000
270.090814,629.442017,369456.718750,StdMix1_11;M+H;[12C]9[13C]1[1H]13[14N]4[16O]5,1.000000
148.096564,906.426025,368453.812500,StdMix1_22;M+CH3OH+H;[12C]6[1H]14[14N]1[16O]3,1.000000
399.144323,1777.849976,350738.937500,StdMix1_48;M+H;[12C]15[1H]23[14N]6[16O]5[32S]1,1.000000
559.150173,626.526001,344772.093750,StdMix1_11;2M+Na;[12C]20[1H]24[14N]8[16O]10[23Na]1,1.000000
211.104926,1070.300049,332176.343750,StdMix1_27;M+Na;[12C]8[1H]16[14N]2[16O]3[23Na]1,1.000000
419.151139,844.109985,330838.968750,StdMix1_69;2M+H;[12C]14[1H]31[14N]2[16O]8[32S]2,0.995000
101.070908,1580.880005,330828.093750,StdMix1_44;M+2ACN+2H;[12C]8[1H]18[14N]4[16O]2,1.000000
155.042395,1119.589966,323435.562500,StdMix1_32;M+Na;[12C]4[1H]8[14N]2[16O]3[23Na]1,1.000000
162.075784,1384.209961,320085.312500,StdMix1_86;M+ACN+H;[12C]6[1H]12[14N]1[16O]4,1.000000
178.058412,1527.010010,320073.218750,StdMix1_43;M+Na;[12C]6[1H]9[14N]3[16O]2[23Na]1,1.000000
117.073681,949.794006,309431.625000,StdMix1_22;M+H;[12C]4[13C]1[1H]10[14N]1[16O]2,1.000000
488.234897,338.998993,290996.125000,StdMix1_5;2M+Na;[12C]25[13C]1[1H]32[14N]4[16O]4[23Na]1,1.000000
116.106849,343.479004,280680.625000,StdMix1_101;M+ACN+H;[12C]6[1H]14[14N]1[16O]1,0.960000
211.082437,842.711975,273160.062500,StdMix1_69;M+H;[12C]6[13C]1[1H]16[14N]1[16O]4[32S]1,1.000000
197.100606,1589.930054,272502.625000,StdMix1_46;M+Na;[12C]6[1H]14[14N]4[16O]2[23Na]1,1.000000
331.062621,921.041992,261814.734375,StdMix1_74;M+H;[12C]9[13C]1[1H]13[14N]5[16O]6[31P]1,1.000000
211.037947,1009.000000,259747.515625,StdMix1_77;M+ACN+H;[12C]5[1H]11[14N]2[16O]5[32S]1,1.000000
378.148469,463.774994,255529.890625,StdMix1_9;M+H;[12C]16[13C]1[1H]21[14N]4[16O]6,1.000000
169.049280,787.703979,242885.812500,StdMix1_55;M+H;[12C]8[1H]9[16O]4,0.985000
249.106687,1042.770020,239223.640625,StdMix1_26;2M+Na;[12C]8[1H]14[14N]6[16O]2[23Na]1,1.000000
151.061412,842.711975,233157.609375,StdMix1_17;M+H;[12C]4[13C]1[1H]12[14N]1[16O]2[32S]1,1.000000
241.030645,1349.040039,226006.671875,StdMix1_40;M+H;[12C]6[1H]13[14N]2[16O]4[32S]2,1.000000
74.060014,1050.410034,225686.500000,StdMix1_45;M+2H;[12C]6[1H]16[14N]2[16O]2,0.985000
228.128001,1035.229980,210539.875000,StdMix1_26;2M+H;[12C]7[13C]1[1H]15[14N]6[16O]2,1.000000
346.040487,1187.150024,200046.703125,StdMix1_79;M+Na;[12C]9[1H]14[14N]3[16O]8[31P]1[23Na]1,1.000000
153.572585,1770.609985,198893.156250,StdMix1_47;M+ACN+2H;[12C]14[1H]21[14N]5[16O]1[32S]1,1.000000
325.087409,869.142029,195863.281250,StdMix1_18;2M+Na;[12C]10[1H]10[14N]10[16O]2[23Na]1,1.000000
128.053277,983.627991,195602.125000,StdMix1_2;M+H;[12C]4[13C]1[1H]7[14N]2[16O]2,1.000000
152.053845,839.934021,194671.265625,StdMix1_17;M+H;[12C]5[1H]12[14N]1[16O]2[34S]1,1.000000
147.168260,2649.850098,192742.015625,StdMix1_1;M+H;[12C]6[13C]1[1H]20[14N]3,0.990000
176.121966,1589.930054,187769.656250,StdMix1_46;M+H;[12C]5[13C]1[1H]15[14N]4[16O]2,1.000000
149.063489,1024.939941,187448.875000,StdMix1_84;M+H;[12C]4[13C]1[1H]10[14N]1[16O]4,1.000000
192.105562,1425.359985,185446.140625,StdMix1_42;M+H;[12C]6[13C]1[1H]15[14N]2[16O]4,1.000000
538.172052,626.526001,180543.546875,StdMix1_11;2M+H;[12C]19[13C]1[1H]25[14N]8[16O]10,1.000000
145.068582,569.778992,179029.468750,StdMix1_88;M+ACN+H;[12C]5[13C]1[1H]10[14N]1[16O]3,1.000000
88.039165,1058.119995,175549.250000,StdMix1_29;M+ACN+2H;[12C]6[1H]12[14N]2[16O]4,0.925000
245.081914,721.013977,174688.296875,StdMix1_3;M+Na;[12C]7[13C]1[1H]15[14N]1[16O]6[23Na]1,1.000000
292.107832,468.192993,173342.390625,StdMix1_99;2M+Na;[12C]9[13C]1[1H]20[16O]8[23Na]1,1.000000
487.177919,1165.400024,172402.250000,StdMix1_36;2M+H;[12C]18[1H]27[14N]6[16O]10,1.000000
245.095637,1166.959961,170790.031250,StdMix1_36;M+H;[12C]8[13C]1[1H]14[14N]3[16O]5,1.000000
259.112973,1196.410034,167823.000000,StdMix1_39;M+H;[12C]7[13C]1[1H]21[14N]1[16O]6[31P]1,1.000000
134.057180,1772.060059,165201.781250,StdMix1_47;M+2H;[12C]12[1H]18[14N]4[16O]1[34S]1,1.000000
466.252859,337.536987,164278.640625,StdMix1_5;2M+H;[12C]25[13C]1[1H]33[14N]4[16O]4,1.000000
265.077226,790.554016,163437.046875,StdMix1_86;2M+Na;[12C]8[1H]16[16O]7[18O]1[23Na]1,1.000000
94.573177,1603.569946,159797.953125,StdMix1_45;M+ACN+2H;[12C]8[1H]19[14N]3[16O]2,1.000000
206.073806,837.161987,153992.453125,StdMix1_88;2M+H;[12C]7[13C]1[1H]13[16O]6,1.000000
281.094807,1203.989990,151678.843750,StdMix1_39;M+Na;[12C]7[13C]1[1H]20[14N]1[16O]6[31P]1[23Na]1,0.920000
