m/z,RT,Intensity,Identification,Prob
74.060072,1054.040039,82354.460938,StdMix1_45;M+2H;[12C]6[1H]16[14N]2[16O]2,0.995000
116.568158,1434.290039,80172.882813,StdMix1_42;M+ACN+2H;[12C]9[1H]19[14N]3[16O]4,1.000000
244.100806,414.016998,79327.000000,StdMix1_56;M+H;[12C]9[13C]1[1H]15[14N]2[16O]5,1.000000
211.082616,831.924011,77262.125000,StdMix1_69;M+H;[12C]6[13C]1[1H]16[14N]1[16O]4[32S]1,1.000000
88.063139,1609.380005,76779.125000,StdMix1_46;M+2H;[12C]6[1H]16[14N]4[16O]2,1.000000
213.084449,1434.290039,69850.289063,StdMix1_42;M+Na;[12C]7[1H]14[14N]2[16O]4[23Na]1,1.000000
172.007163,991.781982,69553.367188,StdMix1_77;M+H;[12C]3[1H]8[14N]1[16O]5[34S]1,1.000000
137.081449,1432.619995,68733.570313,StdMix1_42;M+2ACN+2H;[12C]11[1H]22[14N]4[16O]4,1.000000
487.178729,1182.109985,63516.527344,StdMix1_36;2M+H;[12C]18[1H]27[14N]6[16O]10,1.000000
249.107104,1050.729980,63126.085938,StdMix1_26;2M+Na;[12C]8[1H]14[14N]6[16O]2[23Na]1,1.000000
192.105771,1432.619995,59679.718750,StdMix1_42;M+H;[12C]6[13C]1[1H]15[14N]2[16O]4,1.000000
559.150830,622.049988,58880.628906,StdMix1_11;2M+Na;[12C]20[1H]24[14N]8[16O]10[23Na]1,1.000000
228.128277,1052.390015,58784.460938,StdMix1_26;2M+H;[12C]7[13C]1[1H]15[14N]6[16O]2,1.000000
137.058538,907.799988,57745.355469,StdMix1_21;M+H;[12C]5[1H]6[14N]4[15N]1,1.000000
167.048617,981.023987,57108.359375,StdMix1_24;M+ACN+H;[12C]4[1H]11[14N]2[16O]3[32S]1,1.000000
466.253603,343.026001,56063.128906,StdMix1_5;2M+H;[12C]25[13C]1[1H]33[14N]4[16O]4,1.000000
162.075940,1396.910034,55358.937500,StdMix1_86;M+ACN+H;[12C]6[1H]12[14N]1[16O]4,0.990000
245.082360,709.242004,53445.957031,StdMix1_3;M+Na;[12C]7[13C]1[1H]15[14N]1[16O]6[23Na]1,1.000000
115.063012,1052.390015,52784.332031,StdMix1_26;M+H;[12C]4[1H]8[14N]2[15N]1[16O]1,1.000000
419.151858,831.924011,52397.796875,StdMix1_69;2M+H;[12C]14[1H]31[14N]2[16O]8[32S]2,1.000000
