DatabaseID,Adduct,Annotation,std1-Beer_esi_02022012.csv,std1-Beth20512.csv,std1-Eileen02512.csv,std1-Iain_Jonstone19_4_12.csv,std1-Ivana_29_2_12.csv,std1-Robello040512.csv
StdMix1_57,2M-H,[12C]38[1H]27[16O]10[32S]2,14190.917969,,,,,
StdMix1_65,2M-H,[12C]18[1H]23[14N]4[16O]12,13671.350586,,,18319.234375,,
StdMix1_36,M+Cl,[12C]9[1H]13[14N]3[16O]5[37Cl]1,13609.904297,21348.470703,18617.019531,49969.410156,16875.751953,20895.402344
StdMix1_60,2M-H,[12C]10[1H]15[16O]10,13591.462891,68386.554688,75519.171875,182471.28125,10164.232422,74879.640625
StdMix1_29,2M+FA-H,[12C]9[1H]15[14N]2[16O]10,13319.482422,,,,,
StdMix1_76,M+Cl,[12C]10[1H]13[14N]4[16O]8[31P]1[35Cl]1,12821.550781,,,,,
StdMix1_39,M+Cl,[12C]8[1H]20[14N]1[16O]6[31P]1[37Cl]1,12707.319336,,,,,11077.264648
StdMix1_14,M+Cl,[12C]11[1H]12[14N]2[16O]2[35Cl]1,11752.447266,,,,,
StdMix1_33,M+Na-2H,[12C]10[1H]12[14N]5[16O]7[31P]1[23Na]1,11016.702148,,,56735.773438,,
StdMix1_53,M+FA-H,[12C]5[1H]5[16O]6,10967.498047,,,,16784.542969,39927.886719
StdMix1_57,M+FA-H,[12C]20[1H]15[16O]7[32S]1,10823.091797,,,,,
StdMix1_41,M+Cl,[12C]6[1H]13[14N]1[16O]5[35Cl]1,10681.874023,,,11742.579102,,
StdMix1_61,M-H2O-H,[12C]9[1H]9[14N]2[16O]4,10659.668945,,,,,
StdMix1_79,M+FA-H,[12C]10[1H]15[14N]3[16O]10[31P]1,10543.24707,,,,,
StdMix1_76,M+Na-2H,[12C]10[1H]11[14N]4[16O]8[31P]1[23Na]1,10348.932617,,,10147.24707,,
StdMix1_52,M-H,[12C]8[1H]5[16O]4,,4671403.0,4952671.0,8061411.0,4955201.5,5072375.0
