DatabaseID,Adduct,Annotation,std1-Beer_esi_02022012.csv,std1-Beth20512.csv,std1-Eileen02512.csv,std1-Iain_Jonstone19_4_12.csv,std1-Ivana_29_2_12.csv,std1-Robello040512.csv
StdMix1_43,M+Na,[12C]6[1H]9[14N]3[16O]2[23Na]1,90649.929688,11125.261719,,320073.21875,15424.586914,43598.945313
StdMix1_9,M+Na,[12C]17[1H]20[14N]4[16O]6[23Na]1,89941.398438,147779.671875,145003.859375,803661.0625,100126.84375,103151.148438
StdMix1_39,2M+H,[12C]16[1H]41[14N]2[16O]12[31P]2,87581.734375,,,36134.253906,,
StdMix1_13,M+ACN+H,[12C]8[1H]17[14N]2[16O]2,84025.21875,32261.886719,37439.265625,123636.265625,30841.130859,120000.90625
StdMix1_55,M+2H,[12C]8[1H]10[16O]4,76086.546875,155825.3125,142800.296875,49421.792969,,
StdMix1_3,M+ACN+Na,[12C]10[1H]18[14N]2[16O]6[23Na]1,76050.742188,25411.376953,24649.390625,88405.265625,22883.539063,
StdMix1_87,M+ACN+Na,[12C]14[1H]25[14N]1[16O]11[23Na]1,74989.28125,32634.054688,34633.230469,10628.472656,20692.007813,
StdMix1_80,M+Na,[12C]6[1H]13[16O]9[31P]1[23Na]1,73936.117188,15172.811523,,44062.636719,,
StdMix1_75,M+Na,[12C]9[1H]13[14N]2[16O]9[31P]1[23Na]1,71403.757813,,17773.126953,54417.84375,,
StdMix1_35,M+Na,[12C]6[1H]13[14N]3[16O]3[23Na]1,67818.828125,,,574217.5,,150293.125
StdMix1_8,M+ACN+H,[12C]8[1H]9[14N]2[16O]2,67382.601563,16041.972656,17231.189453,45997.242188,43563.421875,48382.472656
StdMix1_74,2M+H,[12C]20[1H]25[14N]10[16O]12[31P]2,54255.320313,12091.347656,,68220.46875,,
StdMix1_22,M+ACN+H,[12C]7[1H]13[14N]2[16O]2,54089.882813,,,20360.396484,15356.353516,23400.148438
StdMix1_42,M+2H,[12C]7[1H]16[14N]2[16O]4,53889.890625,,,28183.849609,10841.731445,32090.050781
StdMix1_18,2M+ACN+H,[12C]12[1H]14[14N]11[16O]2,53802.488281,,,,20292.939453,
StdMix1_36,2M+Na,[12C]18[1H]26[14N]6[16O]10[23Na]1,53320.417969,290128.96875,275379.28125,951135.0625,84776.695313,79127.984375
StdMix1_24,M+ACN+H,[12C]4[1H]11[14N]2[16O]3[32S]1,52536.003906,12151.064453,12716.873047,71338.054688,57108.359375,69076.203125
StdMix1_11,2M+Na,[12C]20[1H]24[14N]8[16O]10[23Na]1,52381.671875,74467.882813,89015.429688,344772.09375,58880.628906,40594.738281
StdMix1_75,M+CH3OH+H,[12C]10[1H]18[14N]2[16O]10[31P]1,51881.628906,,,,,
StdMix1_65,M+ACN+H,[12C]11[1H]16[14N]3[16O]6,49354.808594,,,20444.216797,,
StdMix1_67,M+ACN+H,[12C]8[1H]16[14N]1[16O]5,48163.894531,,,,,
StdMix1_76,M+NH4,[12C]10[1H]17[14N]5[16O]8[31P]1,47716.015625,,,,,
StdMix1_52,M+ACN+H,[12C]10[1H]10[14N]1[16O]4,46817.921875,,,,,
StdMix1_80,M+ACN+2H,[12C]8[1H]18[14N]1[16O]9[31P]1,45439.097656,,,35846.210938,,
StdMix1_36,M+CH3OH+H,[12C]10[1H]18[14N]3[16O]6,43633.851563,,,,,
StdMix1_69,M+H+NH4,[12C]7[1H]20[14N]2[16O]4[32S]1,43628.6875,,31824.369141,,,
StdMix1_46,2M+H,[12C]12[1H]29[14N]8[16O]4,43166.15625,,,77245.1875,,20595.699219
StdMix1_79,2M+H,[12C]18[1H]29[14N]6[16O]16[31P]2,42938.917969,,,32893.0625,,
StdMix1_20,2M+ACN+H,[12C]12[1H]26[14N]3[16O]4,42890.4375,,,,,
StdMix1_86,M+2ACN+H,[12C]8[1H]15[14N]2[16O]4,40820.613281,,,,,
StdMix1_75,2M+H,[12C]18[1H]27[14N]4[16O]18[31P]2,39011.316406,,,17329.0,,
StdMix1_37,M+Na,[12C]2[1H]8[14N]1[16O]4[31P]1[23Na]1,39001.359375,,,126802.921875,,29398.255859
StdMix1_2,M+2ACN+H,[12C]9[1H]13[14N]4[16O]2,37287.789063,,,,20913.259766,
StdMix1_20,M+ACN+H,[12C]7[1H]15[14N]2[16O]2,36937.4375,,,50100.574219,30572.328125,38477.042969
StdMix1_56,2M+H,[12C]20[1H]29[14N]4[16O]10,36720.265625,32054.470703,44797.339844,62516.503906,24947.042969,17650.4375
StdMix1_24,M+Na,[12C]2[1H]7[14N]1[16O]3[32S]1[23Na]1,35627.988281,46637.585938,42190.359375,84804.914063,35902.515625,23300.519531
StdMix1_101,M+H,[12C]4[1H]11[16O]1,35266.40625,570343.0,318714.84375,,,
StdMix1_27,M+2H,[12C]8[1H]18[14N]2[16O]3,35188.460938,,,,,
StdMix1_99,M+ACN+H,[12C]7[1H]14[14N]1[16O]4,33203.605469,,,,,
StdMix1_2,M+ACN+H,[12C]7[1H]10[14N]3[16O]2,32591.751953,12902.354492,11056.758789,30370.15625,20397.927734,13884.061523
StdMix1_76,2M+Na,[12C]20[1H]26[14N]8[16O]16[31P]2[23Na]1,32467.410156,,,20069.888672,,
StdMix1_50,M+NH4,[12C]9[1H]12[14N]1[16O]3,31399.59375,,,,,
StdMix1_88,M+H,[12C]4[1H]7[16O]3,31300.083984,71901.640625,57004.417969,23785.175781,16648.341797,
StdMix1_71,M+2ACN+H,[12C]12[1H]17[14N]3[16O]6[31P]1,30280.947266,,,,,
StdMix1_80,M+2H,[12C]6[1H]15[16O]9[31P]1,29903.533203,15916.05957,,28197.435547,,
StdMix1_55,M+2ACN+2H,[12C]12[1H]16[14N]2[16O]4,29662.314453,23385.283203,,22291.421875,,
StdMix1_32,M+Na,[12C]4[1H]8[14N]2[16O]3[23Na]1,27570.923828,,76084.414063,323435.5625,,14682.688477
StdMix1_87,2M+Na,[12C]24[1H]44[16O]22[23Na]1,27523.183594,42233.578125,45473.671875,121816.835938,10389.558594,
StdMix1_27,M+ACN+2H,[12C]10[1H]21[14N]3[16O]3,27215.175781,,,,,
StdMix1_81,2M+H,[12C]6[1H]11[16O]12[31P]2,26738.265625,,,,,
StdMix1_26,M+Na,[12C]4[1H]7[14N]3[16O]1[23Na]1,26702.140625,,,379424.625,144862.640625,58645.125
StdMix1_24,2M+H,[12C]4[1H]15[14N]2[16O]6[32S]2,25442.488281,13843.496094,15657.196289,117512.359375,18214.228516,22175.525391
StdMix1_27,M+Na,[12C]8[1H]16[14N]2[16O]3[23Na]1,24661.214844,25786.773438,20562.275391,332176.34375,,12150.181641
StdMix1_69,M+ACN+Na,[12C]9[1H]18[14N]2[16O]4[32S]1[23Na]1,24638.761719,19903.658203,23159.134766,87522.757813,22122.980469,30858.583984
StdMix1_14,M+2ACN+2H,[12C]15[1H]20[14N]4[16O]2,23849.246094,,,,,
StdMix1_84,M+ACN+H,[12C]7[1H]13[14N]2[16O]4,23637.375,,,,,
StdMix1_50,M+ACN+H,[12C]11[1H]12[14N]1[16O]3,23177.550781,,,18889.583984,,
StdMix1_37,2M+H,[12C]4[1H]17[14N]2[16O]8[31P]2,22785.195313,,,40534.609375,,14147.419922
StdMix1_88,M+2ACN+H,[12C]8[1H]13[14N]2[16O]3,22722.320313,,,,,
StdMix1_15,M+ACN+H,[12C]10[1H]13[14N]2[16O]2,22222.537109,23767.292969,26448.498047,81485.3125,10030.625977,24291.056641
StdMix1_40,M+ACN+2H,[12C]8[1H]17[14N]3[16O]4[32S]2,21277.267578,,,11312.633789,,
StdMix1_15,M+2ACN+H,[12C]12[1H]16[14N]3[16O]2,21241.931641,,,,,
StdMix1_29,M+ACN+H,[12C]6[1H]11[14N]2[16O]4,20986.960938,,,,,10495.908203
StdMix1_35,M+ACN+H,[12C]8[1H]17[14N]4[16O]3,20817.101563,,,,,
StdMix1_59,M+2ACN+2H,[12C]7[1H]12[14N]2[16O]4,20323.691406,,,,,
StdMix1_80,M+ACN+Na,[12C]8[1H]16[14N]1[16O]9[31P]1[23Na]1,20312.320313,,,,,
StdMix1_56,M+CH3OH+H,[12C]11[1H]19[14N]2[16O]6,19167.396484,,,,,
StdMix1_22,M+NH4,[12C]5[1H]13[14N]2[16O]2,18351.966797,,,,,
StdMix1_86,M+Na,[12C]4[1H]8[16O]4[23Na]1,17998.361328,33241.726563,32403.103516,140342.4375,20539.289063,
StdMix1_22,M+2ACN+H,[12C]9[1H]16[14N]3[16O]2,17954.617188,,,,,
StdMix1_40,M+Na,[12C]6[1H]12[14N]2[16O]4[32S]2[23Na]1,17186.935547,,,37734.191406,,
StdMix1_67,M+ACN+Na,[12C]8[1H]15[14N]1[16O]5[23Na]1,17175.412109,,,,,
StdMix1_21,M+ACN+H,[12C]7[1H]9[14N]6,17061.234375,,,14719.94043,12469.888672,14493.647461
StdMix1_71,M+H+NH4,[12C]8[1H]15[14N]2[16O]6[31P]1,16317.69043,,,,,
StdMix1_74,M+ACN+H,[12C]12[1H]16[14N]6[16O]6[31P]1,16283.451172,,,,,
StdMix1_11,M+ACN+Na,[12C]12[1H]15[14N]5[16O]5[23Na]1,15634.37207,10877.770508,,36217.792969,12440.991211,
StdMix1_24,2M+Na,[12C]4[1H]14[14N]2[16O]6[32S]2[23Na]1,15115.761719,,,,,
StdMix1_47,M+CH3OH+H,[12C]13[1H]21[14N]4[16O]2[32S]1,14395.210938,,,,,
StdMix1_77,M+Na,[12C]3[1H]7[14N]1[16O]5[32S]1[23Na]1,14388.325195,26244.396484,26240.125,21984.154297,,
StdMix1_67,M+2ACN+H,[12C]10[1H]19[14N]2[16O]5,13629.374023,,,,,
StdMix1_15,2M+H,[12C]16[1H]19[14N]2[16O]4,13360.075195,,,,,
StdMix1_77,M+NH4,[12C]3[1H]11[14N]2[16O]5[32S]1,13274.546875,,,37857.539063,,
StdMix1_92,M+ACN+H,[12C]5[1H]8[14N]1[16O]2,13147.600586,,,10433.201172,,
StdMix1_81,M+Na,[12C]3[1H]5[16O]6[31P]1[23Na]1,12792.691406,,,,,
StdMix1_26,M+ACN+H,[12C]6[1H]11[14N]4[16O]1,12611.126953,,,,,
StdMix1_67,2M+ACN+H,[12C]14[1H]28[14N]1[16O]10,12321.917969,,,,,
StdMix1_8,M+NH4,[12C]6[1H]9[14N]2[16O]2,11784.334961,,,,,
