id,mass,RT,Intensity
78,167.0685023987427,429.97100830078125,79788.1953125
79,96.0814341882974,430.6159973144531,8551.5068359375
80,120.99846134800278,429.97100830078125,75556.2109375
81,180.063919524921,432.8659973144531,89053.78125
82,214.13213452224093,434.3290100097656,28680.1953125
83,156.08457654257467,435.8240051269531,60268.28125
84,184.07944362136723,429.677001953125,15606.8515625
85,158.07639100744677,433.7430114746094,93349.125
86,267.9712983249166,431.46099853515625,859356.5625
87,141.0610618418614,435.8240051269531,109683.609375
88,200.14712374242538,439.635986328125,10439.998046875
89,170.10015656870786,435.8240051269531,20364.53515625
90,199.10285721956168,433.7430114746094,371853.0
91,206.0616006794116,442.010009765625,80403.828125
92,167.04027752575115,429.97100830078125,793407.125
93,153.0246415601718,388.95599365234375,551695.3125
94,153.0246526741675,429.677001953125,22566.60546875
95,90.04701743721586,446.72698974609375,116816.828125
96,138.03759846727746,447.5899963378906,11282.78515625
97,149.02980599165883,429.677001953125,559532.25
98,153.04223718828314,429.677001953125,146442.71875
99,310.09093151356154,428.83099365234375,4331415.0
100,152.04497311787904,429.677001953125,192357.40625
101,154.04507332496556,447.3070068359375,150945.578125
102,156.06069344708294,433.7430114746094,72858.828125
103,262.0336172412228,460.2699890136719,146210.796875
104,57.05805414972994,449.64898681640625,30726.974609375
105,140.0294121572258,427.375,58294.93359375
106,162.05326943005318,432.5719909667969,353138.21875
107,166.0689265951184,429.97100830078125,1612140.0
108,169.05593320591157,429.97100830078125,3776297.25
109,169.09238496030895,447.3070068359375,1.0751897E7
110,174.05327624863943,361.3399963378906,2.02551296E8
111,174.05324768427025,399.1369934082031,2436724.75
112,174.05326247737557,432.2799987792969,95100.6171875
113,203.09236846697067,450.51300048828125,1800500.5
114,170.03992874317754,431.46099853515625,75547.6796875
115,146.05835274256648,399.1369934082031,1.32361248E8
116,146.05834103498705,450.739990234375,1.1500221E7
117,146.0583822090436,361.3399963378906,1.194288E9
118,284.01987406310593,460.2699890136719,343400.8125
