,mz,rt,into
221,517.41969178982,220.633,4859717.2625
222,681.482941845456,219.397,7374187.77920769
223,1049.84721277765,221.886,1011119.86079375
224,307.22655172458,216.806,3026285.95628515
225,357.214661658203,223.302,1132471.68617529
226,392.287656420017,223.302,1182713.49567871
227,467.051129898039,218.162,1941781.50792187
228,534.43432750947,220.633,31380574.4437083
229,638.307230119798,221.886,1441036.76138125
230,682.486680714594,219.397,1522802.58484943
231,700.3138963532,223.302,465107.608410156
232,1048.84978055765,220.633,3202829.4405696
233,329.214087559123,221.886,1654322.22735937
234,385.100852145481,218.162,5283667.95250421
235,427.058669354701,219.397,6229105.71436459
236,539.390096489054,223.302,3279534.05331249
237,554.372189863446,223.302,1418557.01886719
238,648.461537411008,218.162,3836027.15928809
239,682.36236513635,223.302,2288019.44797613
240,143.012479223143,221.886,1301420.32595597
241,341.232065217447,214.323,2368154.87290309
242,372.318880726278,224.541,2874088.35836621
243,409.183456326094,224.541,828775.621501952
244,422.221514703278,225.783,712479.465600912
245,294.861159635758,223.302,1587649.38058413
246,325.237254127911,216.806,14277767.949707
247,440.409025048148,225.783,405957.069804687
248,531.407733532305,223.302,9594604.31780653
249,546.454983287297,220.633,4753038.34448617
250,577.387356379463,221.886,1422235.48497031
251,663.452627792039,219.397,7171232.37015066
252,680.479990989306,219.397,17692242.0221277
253,1047.84791339707,221.886,7237796.54928124
254,143.016058187628,221.886,3729371.478125
255,311.29430717342,228.269,817921.141982144
256,326.341763963488,227.026,295194.59834414
257,389.345377922626,224.541,1955755.80112251
258,438.21599386914,228.269,573003.860723437
259,441.787728228512,224.541,1447927.35624519
260,452.394312177263,228.269,342771.695008593
261,465.433773723213,227.026,642971.999570312
262,471.104325031636,228.269,229536.492827344
263,504.407431532725,221.886,1560519.63437074
264,507.256869440576,225.783,594315.901235491
265,535.439307121868,223.302,13143458.6041033
266,209.177400381795,229.515,277025.781443639
267,273.188558290251,228.269,296893.959182813
268,309.278586375482,228.269,256417.191569532
269,322.149739176587,228.269,553684.81392627
270,340.283837189529,230.76,513374.198604167
271,349.195933711472,229.515,637824.509982639
272,356.31535469263,228.269,538796.187676649
273,370.367358139951,228.269,276958.621125
274,378.24815363269,228.269,1672915.19677149
275,383.203452911273,228.269,1181565.876625
276,393.29748742115,227.026,2891338.20946514
277,402.320974432415,229.515,238990.616477344
278,408.367839449704,229.515,547132.833249806
279,413.265932390993,228.269,1299792.73932471
280,419.315492733075,223.302,1586060.92834896
281,421.40749909624,228.269,613377.004961426
282,453.325007142503,228.269,625938.234273438
283,489.227219381584,227.026,719361.887026563
284,526.430981550171,229.515,503746.439812502
285,539.401279670525,224.541,6764703.10938962
286,552.483540565365,228.269,1171250.03800694
287,553.485605760819,229.515,233961.107390626
288,590.48096403199,220.633,6336584.83572396
289,637.304913298721,221.886,7656894.42762054
290,684.561932770975,228.269,327655.680431251
291,722.505004673178,229.515,1069668.84014063
292,191.142960876112,228.269,479522.834901475
293,325.224861951406,230.76,923850.83263956
294,325.273404492012,229.515,240472.127671875
295,359.351679736351,229.515,456890.173042187
296,384.09795302942,218.162,51173386.5264792
297,384.310261045308,229.515,505995.159187501
298,399.235678755974,229.515,310724.101286328
299,403.232257837726,225.783,2625283.89100841
300,407.228398711423,227.026,742049.786572999
301,416.372957518341,228.269,643074.341296876
302,425.21424768396,227.026,753158.811153125
303,431.246508686405,229.515,636241.036349826
304,431.383744542911,229.515,321865.168798828
305,444.40434224105,224.541,1455399.48470739
306,471.423069400952,224.541,3781899.19646023
307,528.408721309802,229.515,319359.205364062
308,656.338329477663,221.886,6381051.53076172
309,1046.84443746438,221.886,12041510.6117218
310,152.143314147911,230.76,519637.321103066
311,206.089330024779,232.305,395710.705282471
312,219.174287978383,230.76,550138.246135417
313,227.183476515238,230.76,960366.739717775
314,251.046368931236,230.76,453950.889130372
315,297.278725727232,229.515,655763.281418458
316,301.201878945072,232.305,591226.206092285
317,313.233733362907,232.305,406010.029921875
318,354.191001243174,230.76,559005.596132813
319,355.11653953022,229.515,632383.989777345
320,360.310510936472,230.76,472334.325210405
321,361.221526353085,229.515,1720751.65936406
322,366.24642377782,229.515,1310732.02433906
323,424.25467228388,225.783,1933702.8005634
324,430.243430456341,229.515,3782161.9791596
325,438.231977948434,229.515,1232570.92841455
326,506.253856066638,225.783,2015447.83065341
327,635.455354108514,232.305,417199.344609375
328,723.506936210986,230.76,382862.983760417
329,759.571849661898,230.76,503673.347260417
330,71.0855453899175,232.305,151816.451478125
331,176.115023206538,233.549,293704.74091875
332,208.169488180963,232.305,867652.914085937
333,266.149604229798,233.549,438710.090525
334,269.210894125413,232.305,971546.869648437
335,270.250468190614,232.305,198076.914697265
336,286.27379624839,230.76,970514.52321875
337,289.227407733217,230.76,588757.495397569
338,295.263145278797,230.76,523004.925320312
339,332.242963529114,233.549,248109.912000868
340,342.30029628559,232.305,255496.575782923
341,348.237991257575,237.283,709642.235049154
342,351.329657938402,232.305,233711.825921875
343,362.289572590109,232.305,255192.196669921
344,364.341719046778,232.305,325040.37546875
345,377.135945745085,232.305,199897.332490625
346,385.273482290227,233.549,401056.848505371
347,398.232303914253,229.515,1462365.48904609
348,416.045420436464,230.76,836899.980462673
349,420.40434985233,228.269,4650951.01450223
350,468.389156401903,232.305,891290.145182292
351,502.347572566078,232.305,354026.113574218
352,503.376977977498,232.305,1283943.14578438
353,508.457579262625,227.026,2412344.92178613
354,553.368931704448,221.886,6154694.13631714
355,590.42590363432,230.76,2718452.74702825
356,655.33508694447,221.886,30194751.1274504
357,173.132402743964,232.305,685254.228515625
358,189.127295210723,232.305,393063.560970423
359,207.101592473813,232.305,422872.137146205
360,212.112535055302,232.305,1685005.48657187
361,219.101600164832,232.305,624886.126519097
362,251.127713259011,236.039,327261.162769775
363,252.135533499637,232.305,856238.573835936
364,259.081037227913,233.549,342050.543921875
365,281.164857238451,232.305,649930.13726367
366,286.179878035161,236.039,264933.32009933
367,287.148747681934,234.794,227928.750302344
368,300.25281383278,232.305,408369.609316796
369,302.144362719849,232.305,1180603.89844922
370,312.326144808932,232.305,307001.60372433
371,314.268862506803,232.305,991987.235144531
372,333.282812737215,230.76,933994.062895833
373,333.299833632409,232.305,479158.924159374
374,342.240209920084,232.305,932793.0950625
375,348.274407219665,233.549,455992.145406604
376,350.229943413536,229.515,1331264.48242188
377,352.321035743073,233.549,483797.846323973
378,354.336109760219,233.549,351398.353335938
379,356.279236409101,227.026,3047686.26788811
380,436.25368335104,233.549,547813.19390191
