peakID, mass, rt, intensity
113, 115.06330161562538, 613.7550048828125, 2.1828364E7
114, 522.1993894978552, 668.8989868164062, 2.1707206E7
115, 161.06880061743834, 716.7239990234375, 2.1171638E7
116, 85.08904524543601, 520.0759887695312, 2.0697226E7
117, 514.2057105628999, 604.9249877929688, 2.0271362E7
118, 174.13682901013075, 842.1680297851562, 2.0234528E7
119, 259.10530108789214, 542.739013671875, 2.0171654E7
120, 215.05599195530462, 637.7039794921875, 2.0077256E7
121, 197.1051420698866, 411.9670104980469, 1.9922282E7
122, 151.04937233975048, 582.5330200195312, 1.9781744E7
123, 85.05279060833031, 645.1240234375, 1.9468758E7
124, 227.09035796841465, 513.8579711914062, 1.9352614E7
125, 268.0998690176353, 469.6090087890625, 1.9295988E7
126, 252.1049172701735, 442.2569885253906, 1.9105784E7
127, 183.0660088059982, 613.7550048828125, 1.8877112E7
128, 132.09783782445834, 520.0759887695312, 1.878969E7
129, 71.0735496255382, 566.385986328125, 1.8611018E7
130, 514.4058636452997, 222.64500427246094, 1.846572E7
131, 118.08235029269248, 566.385986328125, 1.842824E7
132, 184.08471453286444, 420.83099365234375, 1.822746E7
133, 226.09524017846317, 374.92498779296875, 1.799844E7
134, 246.05014283817107, 542.739013671875, 1.7785278E7
135, 137.04529998935226, 577.5579833984375, 1.7779384E7
136, 215.11570382704292, 410.5409851074219, 1.772077E7
137, 427.1691258917533, 651.3920288085938, 1.7199982E7
138, 241.10612407185883, 481.0740051269531, 1.7190294E7
139, 132.08985095839873, 873.3280029296875, 1.7140352E7
140, 269.14726559585455, 477.3659973144531, 1.6575749E7
141, 69.05788260361695, 576.323974609375, 1.6394647E7
142, 135.05449232036236, 439.7560119628906, 1.6139938E7
143, 403.1995206307045, 240.69200134277344, 1.611234E7
144, 281.11083603057716, 552.7169799804688, 1.580341E7
145, 205.09316016602327, 553.9550170898438, 1.5724215E7
146, 274.1025994148303, 467.1390075683594, 1.5537002E7
147, 327.13168281774693, 419.5920104980469, 1.5499057E7
148, 226.09528046637297, 348.70599365234375, 1.5487389E7
149, 223.10561482507873, 631.4229736328125, 1.5262832E7
150, 109.05278654461843, 374.92498779296875, 1.5166111E7
151, 536.1876876415865, 604.9249877929688, 1.5068785E7
152, 130.11062231579177, 917.64501953125, 1.5064002E7
153, 174.1116551374745, 1026.56005859375, 1.5041814E7
154, 104.06672243295105, 645.1240234375, 1.4862915E7
155, 144.0421698521221, 601.1820068359375, 1.4749789E7
156, 164.04735016367204, 585.0070190429688, 1.4741845E7
157, 244.08868586012338, 560.1500244140625, 1.4676643E7
158, 102.07931047239045, 1000.5999755859375, 1.4348655E7
159, 259.1065974410874, 607.572998046875, 1.425057E7
160, 175.8680115698363, 1328.6800537109375, 1.4209299E7
161, 261.12104768116825, 501.4169921875, 1.415669E7
162, 235.10552638486664, 239.44900512695312, 1.4007504E7
163, 318.1538649306598, 895.5170288085938, 1.385315E7
164, 275.13671354094316, 470.843994140625, 1.3632281E7
165, 226.11432073147364, 418.35400390625, 1.3600153E7
166, 294.15077844532004, 469.6090087890625, 1.3582713E7
167, 179.0945848171449, 340.9809875488281, 1.3581599E7
168, 179.09459521506915, 486.1679992675781, 1.3573561E7
169, 344.1986242813052, 209.86599731445312, 1.3443484E7
170, 290.07662285153305, 469.6090087890625, 1.3394001E7
171, 683.2483944183773, 678.8519897460938, 1.3352916E7
172, 419.1556709395067, 635.1699829101562, 1.3334153E7
173, 166.11867388962696, 704.1090087890625, 1.3281699E7
174, 308.15829282926, 709.1630249023438, 1.3241351E7
175, 130.04595188279984, 481.0740051269531, 1.3213512E7
176, 149.0509580288162, 540.2269897460938, 1.3072082E7
177, 455.20003170500235, 508.90301513671875, 1.3019016E7
178, 445.1797573042654, 645.1240234375, 1.2879166E7
